total_reorders,total_products,repurchase_rate,repurchase_segment
69,118,0.5847457627118644,High
5,12,0.4166666666666667,Moderate
1,3,0.3333333333333333,Moderate
21,33,0.6363636363636364,High
5,23,0.21739130434782608,Low
0,3,0.0,Low
2,7,0.2857142857142857,Moderate
0,7,0.0,Low
3,8,0.375,Moderate
0,4,0.0,Low
2,15,0.13333333333333333,Low
19,25,0.76,Very High
4,29,0.13793103448275862,Low
3,8,0.375,Moderate
15,20,0.75,High
2,12,0.16666666666666666,Low
7,12,0.5833333333333334,High
27,52,0.5192307692307693,High
22,29,0.7586206896551724,Very High
3,3,1.0,Very High
8,25,0.32,Moderate
54,81,0.6666666666666666,High
0,8,0.0,Low
1,2,0.5,Moderate
48,59,0.8135593220338984,Very High
6,8,0.75,High
14,29,0.4827586206896552,Moderate
4,7,0.5714285714285714,High
6,29,0.20689655172413793,Low
6,14,0.42857142857142855,Moderate
17,38,0.4473684210526316,Moderate
6,7,0.8571428571428571,Very High
2,5,0.4,Moderate
4,16,0.25,Low
1,5,0.2,Low
25,50,0.5,Moderate
63,78,0.8076923076923077,Very High
16,25,0.64,High
3,3,1.0,Very High
7,30,0.23333333333333334,Low
0,6,0.0,Low
47,79,0.5949367088607594,High
0,2,0.0,Low
2,4,0.5,Moderate
49,106,0.46226415094339623,Moderate
1,23,0.043478260869565216,Low
2,10,0.2,Low
4,30,0.13333333333333333,Low
107,131,0.816793893129771,Very High
36,46,0.782608695652174,Very High
12,14,0.8571428571428571,Very High
0,3,0.0,Low
9,9,1.0,Very High
3,7,0.42857142857142855,Moderate
6,16,0.375,Moderate
2,8,0.25,Low
1,4,0.25,Low
11,33,0.3333333333333333,Moderate
28,42,0.6666666666666666,High
7,16,0.4375,Moderate
5,6,0.8333333333333334,Very High
1,1,1.0,Very High
7,16,0.4375,Moderate
0,10,0.0,Low
63,81,0.7777777777777778,Very High
0,2,0.0,Low
14,31,0.45161290322580644,Moderate
4,8,0.5,Moderate
4,7,0.5714285714285714,High
6,10,0.6,High
7,20,0.35,Moderate
10,13,0.7692307692307693,Very High
5,12,0.4166666666666667,Moderate
17,40,0.425,Moderate
5,23,0.21739130434782608,Low
89,104,0.8557692307692307,Very High
1,9,0.1111111111111111,Low
1,2,0.5,Moderate
83,88,0.9431818181818182,Very High
13,17,0.7647058823529411,Very High
36,59,0.6101694915254238,High
10,17,0.5882352941176471,High
49,85,0.5764705882352941,High
24,40,0.6,High
51,58,0.8793103448275862,Very High
3,7,0.42857142857142855,Moderate
0,5,0.0,Low
6,6,1.0,Very High
42,47,0.8936170212765957,Very High
12,12,1.0,Very High
1,13,0.07692307692307693,Low
161,206,0.7815533980582524,Very High
34,51,0.6666666666666666,High
25,34,0.7352941176470589,High
53,67,0.7910447761194029,Very High
2,13,0.15384615384615385,Low
4,7,0.5714285714285714,High
8,22,0.36363636363636365,Moderate
32,50,0.64,High
13,23,0.5652173913043478,High
4,20,0.2,Low
4,4,1.0,Very High
0,6,0.0,Low
18,27,0.6666666666666666,High
56,73,0.7671232876712328,Very High
18,23,0.782608695652174,Very High
3,4,0.75,High
4,4,1.0,Very High
13,31,0.41935483870967744,Moderate
22,32,0.6875,High
38,91,0.4175824175824176,Moderate
8,23,0.34782608695652173,Moderate
0,44,0.0,Low
43,78,0.5512820512820513,High
35,59,0.5932203389830508,High
17,41,0.4146341463414634,Moderate
3,3,1.0,Very High
7,20,0.35,Moderate
18,41,0.43902439024390244,Moderate
53,73,0.726027397260274,High
4,8,0.5,Moderate
0,4,0.0,Low
0,5,0.0,Low
8,15,0.5333333333333333,High
5,6,0.8333333333333334,Very High
2,16,0.125,Low
3,11,0.2727272727272727,Moderate
0,22,0.0,Low
4,4,1.0,Very High
5,10,0.5,Moderate
119,128,0.9296875,Very High
0,1,0.0,Low
42,79,0.5316455696202531,High
3,3,1.0,Very High
9,13,0.6923076923076923,High
22,35,0.6285714285714286,High
0,40,0.0,Low
39,43,0.9069767441860465,Very High
26,43,0.6046511627906976,High
22,32,0.6875,High
6,30,0.2,Low
17,40,0.425,Moderate
1,19,0.05263157894736842,Low
0,5,0.0,Low
8,11,0.7272727272727273,High
18,21,0.8571428571428571,Very High
1,8,0.125,Low
0,6,0.0,Low
2,6,0.3333333333333333,Moderate
28,50,0.56,High
0,3,0.0,Low
3,7,0.42857142857142855,Moderate
3,7,0.42857142857142855,Moderate
32,38,0.8421052631578947,Very High
9,25,0.36,Moderate
5,12,0.4166666666666667,Moderate
11,37,0.2972972972972973,Moderate
6,8,0.75,High
5,24,0.20833333333333334,Low
2,9,0.2222222222222222,Low
3,10,0.3,Moderate
25,52,0.4807692307692308,Moderate
24,25,0.96,Very High
24,32,0.75,High
6,9,0.6666666666666666,High
3,10,0.3,Moderate
9,19,0.47368421052631576,Moderate
2,2,1.0,Very High
1,18,0.05555555555555555,Low
9,31,0.2903225806451613,Moderate
0,1,0.0,Low
5,21,0.23809523809523808,Low
8,24,0.3333333333333333,Moderate
1,4,0.25,Low
4,4,1.0,Very High
0,15,0.0,Low
0,5,0.0,Low
16,31,0.5161290322580645,High
0,12,0.0,Low
34,54,0.6296296296296297,High
18,36,0.5,Moderate
6,8,0.75,High
8,15,0.5333333333333333,High
2,7,0.2857142857142857,Moderate
3,33,0.09090909090909091,Low
3,9,0.3333333333333333,Moderate
3,9,0.3333333333333333,Moderate
0,1,0.0,Low
0,1,0.0,Low
3,3,1.0,Very High
78,120,0.65,High
17,43,0.3953488372093023,Moderate
6,7,0.8571428571428571,Very High
2,11,0.18181818181818182,Low
4,5,0.8,Very High
12,19,0.631578947368421,High
8,41,0.1951219512195122,Low
11,25,0.44,Moderate
15,16,0.9375,Very High
20,27,0.7407407407407407,High
92,104,0.8846153846153846,Very High
0,19,0.0,Low
14,23,0.6086956521739131,High
6,23,0.2608695652173913,Moderate
45,81,0.5555555555555556,High
2,2,1.0,Very High
7,8,0.875,Very High
44,69,0.6376811594202898,High
1,5,0.2,Low
96,165,0.5818181818181818,High
20,21,0.9523809523809523,Very High
7,7,1.0,Very High
0,6,0.0,Low
4,11,0.36363636363636365,Moderate
21,25,0.84,Very High
3,5,0.6,High
13,24,0.5416666666666666,High
6,8,0.75,High
2,8,0.25,Low
47,67,0.7014925373134329,High
6,9,0.6666666666666666,High
7,10,0.7,High
0,1,0.0,Low
30,33,0.9090909090909091,Very High
30,42,0.7142857142857143,High
3,13,0.23076923076923078,Low
2,17,0.11764705882352941,Low
91,116,0.7844827586206896,Very High
21,25,0.84,Very High
9,9,1.0,Very High
42,45,0.9333333333333333,Very High
8,8,1.0,Very High
49,92,0.532608695652174,High
4,10,0.4,Moderate
24,51,0.47058823529411764,Moderate
84,100,0.84,Very High
9,17,0.5294117647058824,High
11,24,0.4583333333333333,Moderate
7,24,0.2916666666666667,Moderate
6,14,0.42857142857142855,Moderate
0,1,0.0,Low
111,142,0.7816901408450704,Very High
4,30,0.13333333333333333,Low
30,48,0.625,High
2,14,0.14285714285714285,Low
0,25,0.0,Low
53,67,0.7910447761194029,Very High
9,11,0.8181818181818182,Very High
6,20,0.3,Moderate
0,3,0.0,Low
53,81,0.654320987654321,High
14,44,0.3181818181818182,Moderate
6,6,1.0,Very High
14,16,0.875,Very High
44,53,0.8301886792452831,Very High
38,46,0.8260869565217391,Very High
2,9,0.2222222222222222,Low
108,147,0.7346938775510204,High
5,8,0.625,High
1,1,1.0,Very High
1,11,0.09090909090909091,Low
0,9,0.0,Low
33,62,0.532258064516129,High
1,2,0.5,Moderate
11,25,0.44,Moderate
77,103,0.7475728155339806,High
6,9,0.6666666666666666,High
0,6,0.0,Low
6,13,0.46153846153846156,Moderate
28,48,0.5833333333333334,High
0,11,0.0,Low
3,16,0.1875,Low
18,32,0.5625,High
1,1,1.0,Very High
10,15,0.6666666666666666,High
7,31,0.22580645161290322,Low
3,6,0.5,Moderate
2,2,1.0,Very High
6,30,0.2,Low
6,13,0.46153846153846156,Moderate
1,3,0.3333333333333333,Moderate
55,133,0.41353383458646614,Moderate
22,47,0.46808510638297873,Moderate
7,14,0.5,Moderate
9,21,0.42857142857142855,Moderate
22,54,0.4074074074074074,Moderate
15,15,1.0,Very High
50,57,0.8771929824561403,Very High
16,20,0.8,Very High
6,6,1.0,Very High
4,10,0.4,Moderate
8,13,0.6153846153846154,High
0,7,0.0,Low
16,53,0.3018867924528302,Moderate
20,26,0.7692307692307693,Very High
9,19,0.47368421052631576,Moderate
14,17,0.8235294117647058,Very High
8,17,0.47058823529411764,Moderate
0,15,0.0,Low
14,26,0.5384615384615384,High
6,21,0.2857142857142857,Moderate
3,3,1.0,Very High
3,4,0.75,High
0,4,0.0,Low
0,2,0.0,Low
7,9,0.7777777777777778,Very High
15,35,0.42857142857142855,Moderate
31,39,0.7948717948717948,Very High
0,2,0.0,Low
0,10,0.0,Low
56,66,0.8484848484848485,Very High
0,19,0.0,Low
0,2,0.0,Low
12,61,0.19672131147540983,Low
43,58,0.7413793103448276,High
6,13,0.46153846153846156,Moderate
0,6,0.0,Low
3,3,1.0,Very High
8,10,0.8,Very High
6,9,0.6666666666666666,High
14,29,0.4827586206896552,Moderate
0,12,0.0,Low
10,17,0.5882352941176471,High
0,2,0.0,Low
5,17,0.29411764705882354,Moderate
1,9,0.1111111111111111,Low
6,24,0.25,Low
127,133,0.9548872180451128,Very High
28,53,0.5283018867924528,High
5,5,1.0,Very High
9,12,0.75,High
14,27,0.5185185185185185,High
0,3,0.0,Low
3,10,0.3,Moderate
4,8,0.5,Moderate
18,53,0.33962264150943394,Moderate
4,5,0.8,Very High
4,10,0.4,Moderate
6,8,0.75,High
13,17,0.7647058823529411,Very High
1,13,0.07692307692307693,Low
12,13,0.9230769230769231,Very High
8,24,0.3333333333333333,Moderate
4,4,1.0,Very High
2,2,1.0,Very High
28,42,0.6666666666666666,High
77,93,0.8279569892473119,Very High
0,11,0.0,Low
0,6,0.0,Low
0,41,0.0,Low
6,7,0.8571428571428571,Very High
36,43,0.8372093023255814,Very High
4,4,1.0,Very High
11,24,0.4583333333333333,Moderate
2,3,0.6666666666666666,High
0,14,0.0,Low
0,3,0.0,Low
19,38,0.5,Moderate
4,11,0.36363636363636365,Moderate
5,11,0.45454545454545453,Moderate
28,40,0.7,High
1,4,0.25,Low
15,15,1.0,Very High
0,1,0.0,Low
90,128,0.703125,High
10,21,0.47619047619047616,Moderate
33,49,0.673469387755102,High
5,5,1.0,Very High
10,11,0.9090909090909091,Very High
50,57,0.8771929824561403,Very High
0,9,0.0,Low
71,81,0.8765432098765432,Very High
69,92,0.75,High
4,4,1.0,Very High
0,10,0.0,Low
98,115,0.8521739130434782,Very High
12,20,0.6,High
57,72,0.7916666666666666,Very High
74,89,0.8314606741573034,Very High
6,9,0.6666666666666666,High
29,45,0.6444444444444445,High
13,27,0.48148148148148145,Moderate
1,8,0.125,Low
8,13,0.6153846153846154,High
7,8,0.875,Very High
62,94,0.6595744680851063,High
2,6,0.3333333333333333,Moderate
46,61,0.7540983606557377,Very High
4,14,0.2857142857142857,Moderate
58,75,0.7733333333333333,Very High
1,2,0.5,Moderate
2,9,0.2222222222222222,Low
10,11,0.9090909090909091,Very High
3,4,0.75,High
0,16,0.0,Low
1,2,0.5,Moderate
33,58,0.5689655172413793,High
53,70,0.7571428571428571,Very High
48,58,0.8275862068965517,Very High
1,16,0.0625,Low
4,4,1.0,Very High
7,8,0.875,Very High
4,11,0.36363636363636365,Moderate
12,24,0.5,Moderate
13,14,0.9285714285714286,Very High
0,17,0.0,Low
11,12,0.9166666666666666,Very High
4,6,0.6666666666666666,High
41,62,0.6612903225806451,High
177,240,0.7375,High
31,43,0.7209302325581395,High
25,37,0.6756756756756757,High
8,19,0.42105263157894735,Moderate
11,17,0.6470588235294118,High
5,10,0.5,Moderate
0,4,0.0,Low
34,45,0.7555555555555555,Very High
0,2,0.0,Low
57,78,0.7307692307692307,High
5,12,0.4166666666666667,Moderate
26,50,0.52,High
8,16,0.5,Moderate
1,2,0.5,Moderate
46,66,0.696969696969697,High
20,41,0.4878048780487805,Moderate
0,5,0.0,Low
4,16,0.25,Low
16,41,0.3902439024390244,Moderate
2,24,0.08333333333333333,Low
3,8,0.375,Moderate
1,7,0.14285714285714285,Low
0,11,0.0,Low
20,30,0.6666666666666666,High
22,32,0.6875,High
18,44,0.4090909090909091,Moderate
1,2,0.5,Moderate
3,3,1.0,Very High
5,18,0.2777777777777778,Moderate
18,25,0.72,High
14,27,0.5185185185185185,High
2,2,1.0,Very High
0,13,0.0,Low
16,35,0.45714285714285713,Moderate
28,32,0.875,Very High
1,16,0.0625,Low
0,1,0.0,Low
38,40,0.95,Very High
0,4,0.0,Low
0,12,0.0,Low
12,15,0.8,Very High
57,78,0.7307692307692307,High
25,38,0.6578947368421053,High
44,55,0.8,Very High
22,41,0.5365853658536586,High
19,39,0.48717948717948717,Moderate
88,109,0.8073394495412844,Very High
6,12,0.5,Moderate
1,11,0.09090909090909091,Low
100,128,0.78125,Very High
32,39,0.8205128205128205,Very High
0,3,0.0,Low
3,5,0.6,High
1,2,0.5,Moderate
24,29,0.8275862068965517,Very High
7,12,0.5833333333333334,High
7,7,1.0,Very High
22,44,0.5,Moderate
10,29,0.3448275862068966,Moderate
35,64,0.546875,High
0,33,0.0,Low
20,36,0.5555555555555556,High
4,4,1.0,Very High
7,17,0.4117647058823529,Moderate
1,4,0.25,Low
10,18,0.5555555555555556,High
13,24,0.5416666666666666,High
31,53,0.5849056603773585,High
26,44,0.5909090909090909,High
37,48,0.7708333333333334,Very High
113,177,0.6384180790960452,High
16,47,0.3404255319148936,Moderate
6,12,0.5,Moderate
5,33,0.15151515151515152,Low
171,224,0.7633928571428571,Very High
5,7,0.7142857142857143,High
0,6,0.0,Low
11,32,0.34375,Moderate
39,65,0.6,High
2,3,0.6666666666666666,High
4,16,0.25,Low
2,2,1.0,Very High
0,1,0.0,Low
120,168,0.7142857142857143,High
62,79,0.7848101265822784,Very High
46,66,0.696969696969697,High
10,52,0.19230769230769232,Low
18,19,0.9473684210526315,Very High
3,9,0.3333333333333333,Moderate
2,2,1.0,Very High
48,75,0.64,High
0,22,0.0,Low
1,2,0.5,Moderate
5,9,0.5555555555555556,High
2,11,0.18181818181818182,Low
41,68,0.6029411764705882,High
101,153,0.6601307189542484,High
17,46,0.3695652173913043,Moderate
2,2,1.0,Very High
12,40,0.3,Moderate
8,18,0.4444444444444444,Moderate
6,11,0.5454545454545454,High
8,20,0.4,Moderate
4,20,0.2,Low
4,18,0.2222222222222222,Low
12,19,0.631578947368421,High
11,17,0.6470588235294118,High
2,2,1.0,Very High
6,13,0.46153846153846156,Moderate
0,4,0.0,Low
7,11,0.6363636363636364,High
16,28,0.5714285714285714,High
70,107,0.6542056074766355,High
18,44,0.4090909090909091,Moderate
16,23,0.6956521739130435,High
99,131,0.7557251908396947,Very High
1,3,0.3333333333333333,Moderate
0,5,0.0,Low
13,57,0.22807017543859648,Low
4,27,0.14814814814814814,Low
59,128,0.4609375,Moderate
27,45,0.6,High
1,14,0.07142857142857142,Low
1,1,1.0,Very High
2,3,0.6666666666666666,High
1,8,0.125,Low
0,9,0.0,Low
68,86,0.7906976744186046,Very High
0,3,0.0,Low
2,7,0.2857142857142857,Moderate
10,10,1.0,Very High
10,21,0.47619047619047616,Moderate
3,3,1.0,Very High
0,6,0.0,Low
2,8,0.25,Low
22,56,0.39285714285714285,Moderate
10,23,0.43478260869565216,Moderate
0,4,0.0,Low
3,16,0.1875,Low
3,10,0.3,Moderate
0,3,0.0,Low
66,110,0.6,High
5,14,0.35714285714285715,Moderate
2,11,0.18181818181818182,Low
1,1,1.0,Very High
0,2,0.0,Low
1,5,0.2,Low
6,7,0.8571428571428571,Very High
11,15,0.7333333333333333,High
3,3,1.0,Very High
76,95,0.8,Very High
36,43,0.8372093023255814,Very High
3,8,0.375,Moderate
3,8,0.375,Moderate
2,11,0.18181818181818182,Low
3,11,0.2727272727272727,Moderate
20,57,0.3508771929824561,Moderate
6,14,0.42857142857142855,Moderate
12,27,0.4444444444444444,Moderate
84,95,0.8842105263157894,Very High
2,8,0.25,Low
0,8,0.0,Low
3,4,0.75,High
4,9,0.4444444444444444,Moderate
0,1,0.0,Low
28,29,0.9655172413793104,Very High
7,17,0.4117647058823529,Moderate
1,10,0.1,Low
4,6,0.6666666666666666,High
8,10,0.8,Very High
54,86,0.627906976744186,High
12,20,0.6,High
31,53,0.5849056603773585,High
6,9,0.6666666666666666,High
24,39,0.6153846153846154,High
22,25,0.88,Very High
1,3,0.3333333333333333,Moderate
6,8,0.75,High
10,23,0.43478260869565216,Moderate
9,25,0.36,Moderate
2,3,0.6666666666666666,High
7,11,0.6363636363636364,High
35,51,0.6862745098039216,High
1,3,0.3333333333333333,Moderate
1,6,0.16666666666666666,Low
13,23,0.5652173913043478,High
21,26,0.8076923076923077,Very High
13,29,0.4482758620689655,Moderate
46,71,0.647887323943662,High
9,30,0.3,Moderate
5,5,1.0,Very High
0,9,0.0,Low
19,24,0.7916666666666666,Very High
1,23,0.043478260869565216,Low
56,82,0.6829268292682927,High
12,29,0.41379310344827586,Moderate
8,25,0.32,Moderate
13,15,0.8666666666666667,Very High
10,26,0.38461538461538464,Moderate
26,65,0.4,Moderate
1,7,0.14285714285714285,Low
0,11,0.0,Low
0,8,0.0,Low
3,26,0.11538461538461539,Low
17,45,0.37777777777777777,Moderate
14,14,1.0,Very High
4,8,0.5,Moderate
0,9,0.0,Low
10,17,0.5882352941176471,High
5,12,0.4166666666666667,Moderate
1,1,1.0,Very High
25,75,0.3333333333333333,Moderate
168,237,0.7088607594936709,High
0,6,0.0,Low
93,176,0.5284090909090909,High
3,6,0.5,Moderate
40,41,0.975609756097561,Very High
30,44,0.6818181818181818,High
8,8,1.0,Very High
11,19,0.5789473684210527,High
5,9,0.5555555555555556,High
9,9,1.0,Very High
7,8,0.875,Very High
2,3,0.6666666666666666,High
62,66,0.9393939393939394,Very High
3,7,0.42857142857142855,Moderate
23,31,0.7419354838709677,High
26,53,0.49056603773584906,Moderate
7,11,0.6363636363636364,High
7,7,1.0,Very High
84,105,0.8,Very High
7,21,0.3333333333333333,Moderate
0,1,0.0,Low
24,26,0.9230769230769231,Very High
0,23,0.0,Low
6,13,0.46153846153846156,Moderate
34,46,0.7391304347826086,High
7,10,0.7,High
1,9,0.1111111111111111,Low
3,18,0.16666666666666666,Low
12,20,0.6,High
19,38,0.5,Moderate
50,56,0.8928571428571429,Very High
14,20,0.7,High
88,138,0.6376811594202898,High
4,10,0.4,Moderate
1,16,0.0625,Low
58,80,0.725,High
11,39,0.28205128205128205,Moderate
63,97,0.6494845360824743,High
4,13,0.3076923076923077,Moderate
10,16,0.625,High
8,18,0.4444444444444444,Moderate
6,10,0.6,High
0,14,0.0,Low
3,4,0.75,High
1,4,0.25,Low
2,12,0.16666666666666666,Low
9,11,0.8181818181818182,Very High
2,2,1.0,Very High
8,15,0.5333333333333333,High
1,13,0.07692307692307693,Low
81,116,0.6982758620689655,High
14,30,0.4666666666666667,Moderate
0,11,0.0,Low
0,3,0.0,Low
7,17,0.4117647058823529,Moderate
82,112,0.7321428571428571,High
4,6,0.6666666666666666,High
0,1,0.0,Low
1,2,0.5,Moderate
3,9,0.3333333333333333,Moderate
5,13,0.38461538461538464,Moderate
5,17,0.29411764705882354,Moderate
2,14,0.14285714285714285,Low
16,34,0.47058823529411764,Moderate
17,32,0.53125,High
0,4,0.0,Low
2,12,0.16666666666666666,Low
11,23,0.4782608695652174,Moderate
30,48,0.625,High
9,30,0.3,Moderate
25,42,0.5952380952380952,High
0,7,0.0,Low
7,9,0.7777777777777778,Very High
14,28,0.5,Moderate
13,24,0.5416666666666666,High
2,17,0.11764705882352941,Low
19,50,0.38,Moderate
2,11,0.18181818181818182,Low
4,10,0.4,Moderate
4,6,0.6666666666666666,High
3,7,0.42857142857142855,Moderate
0,11,0.0,Low
6,13,0.46153846153846156,Moderate
55,71,0.7746478873239436,Very High
17,23,0.7391304347826086,High
25,51,0.49019607843137253,Moderate
12,21,0.5714285714285714,High
2,15,0.13333333333333333,Low
27,45,0.6,High
14,19,0.7368421052631579,High
5,8,0.625,High
0,8,0.0,Low
14,15,0.9333333333333333,Very High
4,8,0.5,Moderate
2,6,0.3333333333333333,Moderate
32,77,0.4155844155844156,Moderate
10,13,0.7692307692307693,Very High
0,8,0.0,Low
1,7,0.14285714285714285,Low
3,11,0.2727272727272727,Moderate
2,7,0.2857142857142857,Moderate
4,13,0.3076923076923077,Moderate
0,25,0.0,Low
9,24,0.375,Moderate
4,12,0.3333333333333333,Moderate
1,3,0.3333333333333333,Moderate
15,25,0.6,High
1,1,1.0,Very High
12,12,1.0,Very High
